"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 07 12:13:02 GMT 2024","Mon Oct 07 12:13:10 GMT 2024","8297","chromium","US_01.02.01_Markets.spec.ts","US_01.02!01 | Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument , FCA license, EN language > US_01.02!01_UnReg Role","","","TC_01.02!01_101_UnReg | Markets > Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument > Click button [Add to favourite]",""
"passed","Mon Oct 07 12:13:47 GMT 2024","Mon Oct 07 12:13:56 GMT 2024","8475","chromium","US_01.02.01_Markets.spec.ts","US_01.02!01 | Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument , FCA license, EN language > US_01.02!01_UnReg Role","","","TC_01.02!01_106_UnReg | Markets > Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument > Click button [Sell]",""
"passed","Mon Oct 07 12:13:56 GMT 2024","Mon Oct 07 12:14:04 GMT 2024","8608","chromium","US_01.02.01_Markets.spec.ts","US_01.02!01 | Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument , FCA license, EN language > US_01.02!01_UnReg Role","","","TC_01.02!01_107_UnReg | Markets > Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument > Click button [Buy]",""
"skipped","Mon Oct 07 12:14:04 GMT 2024","Mon Oct 07 12:14:04 GMT 2024","0","chromium","US_01.02.01_Markets.spec.ts","US_01.02!01 | Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument , FCA license, EN language > US_01.02!01_UnAuth Role","","","TC_01.02!01_104_UnAuth | Markets > Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument > Click button [Notification] on the widget “Trading instrument",""
"passed","Mon Oct 07 12:13:10 GMT 2024","Mon Oct 07 12:13:20 GMT 2024","9510","chromium","US_01.02.01_Markets.spec.ts","US_01.02!01 | Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument , FCA license, EN language > US_01.02!01_UnReg Role","","","TC_01.02!01_102_UnReg | Markets > Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument > Hover over tooltip ""Long position overnight fee"" --> Click button [Go to platform]",""
"skipped","Mon Oct 07 12:14:04 GMT 2024","Mon Oct 07 12:14:04 GMT 2024","1","chromium","US_01.02.01_Markets.spec.ts","US_01.02!01 | Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument , FCA license, EN language > US_01.02!01_UnAuth Role","","","TC_01.02!01_102_UnAuth | Markets > Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument > Hover over tooltip ""Long position overnight fee"" --> Click button [Go to platform]",""
"skipped","Mon Oct 07 12:14:04 GMT 2024","Mon Oct 07 12:14:04 GMT 2024","0","chromium","US_01.02.01_Markets.spec.ts","US_01.02!01 | Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument , FCA license, EN language > US_01.02!01_Auth Role","","","TC_01.02!01_101_Auth | Markets > Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument > Click button [Add to favourite]",""
"passed","Mon Oct 07 12:12:56 GMT 2024","Mon Oct 07 12:13:02 GMT 2024","6028","chromium","US_01.02.00_Markets.spec.ts","US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license, EN language > TC_01.02!00_199_All Roles","","","TC_01.02!00_199 | Markets > Menu item [Shares] > Collecting links from widget “Trading instrument”",""
"passed","Mon Oct 07 12:06:24 GMT 2024","Mon Oct 07 12:06:44 GMT 2024","20065","chromium","US_01.02.00_Markets.spec.ts","US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license, EN language > US_01.02!00_UnAuth Role","","","TC_01.02!00_101_UnAuth | Markets > Menu item [Shares] > Click button [Sign up] in the block ""Shares trading""",""
"skipped","Mon Oct 07 12:14:04 GMT 2024","Mon Oct 07 12:14:04 GMT 2024","0","chromium","US_01.02.01_Markets.spec.ts","US_01.02!01 | Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument , FCA license, EN language > US_01.02!01_Auth Role","","","TC_01.02!01_106_Auth | Markets > Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument > Click button [Sell]",""
"passed","Mon Oct 07 12:11:27 GMT 2024","Mon Oct 07 12:11:45 GMT 2024","18623","chromium","US_01.02.00_Markets.spec.ts","US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license, EN language > US_01.02!00_Auth Role","","","TC_01.02!00_102_Auth | Markets > Menu item [Shares] > Click button [Try Demo]  in the block ""Shares trading""",""
"broken","Mon Oct 07 12:08:33 GMT 2024","Mon Oct 07 12:10:34 GMT 2024","120080","chromium","US_01.02.00_Markets.spec.ts","US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license, EN language > US_01.02!00_UnAuth Role","","","TC_01.02!00_104_UnAuth | Markets > Menu item [Shares] > Click button [Try Demo] in the block ""Discover trading excellence with Capital.com""",""
"skipped","Mon Oct 07 12:14:04 GMT 2024","Mon Oct 07 12:14:04 GMT 2024","0","chromium","US_01.02.01_Markets.spec.ts","US_01.02!01 | Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument , FCA license, EN language > US_01.02!01_UnAuth Role","","","TC_01.02!01_103_UnAuth | Markets > Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument > Hover over tooltip ""Short position overnight fee"" --> Click button [Go to platform]",""
